ValorCriterioInspeccionId,OpcionCriterioInspeccionId,AreaCriterioInspeccionId,Valor,CriterioInspeccionId,Activo,Created,UserCreatedId
1,1,1,0.25,1,TRUE,GETDATE(),1
2,2,1,0.12,1,TRUE,GETDATE(),1
3,3,1,0.00,1,TRUE,GETDATE(),1
4,1,2,0.40,1,TRUE,GETDATE(),1
5,2,2,0.20,1,TRUE,GETDATE(),1
6,3,2,0.00,1,TRUE,GETDATE(),1
7,1,3,NULL,1,TRUE,GETDATE(),1
8,2,3,NULL,1,TRUE,GETDATE(),1
9,3,3,NULL,1,TRUE,GETDATE(),1
10,1,4,0.35,1,TRUE,GETDATE(),1
11,2,4,0.17,1,TRUE,GETDATE(),1
12,3,4,0.00,1,TRUE,GETDATE(),1
13,1,5,0.35,1,TRUE,GETDATE(),1
14,2,5,0.17,1,TRUE,GETDATE(),1
15,3,5,0.00,1,TRUE,GETDATE(),1
16,1,6,0.35,1,TRUE,GETDATE(),1
17,2,6,0.17,1,TRUE,GETDATE(),1
18,3,6,0.00,1,TRUE,GETDATE(),1
19,1,7,0.20,1,TRUE,GETDATE(),1
20,2,7,0.10,1,TRUE,GETDATE(),1
21,3,7,0.00,1,TRUE,GETDATE(),1
22,1,8,0.20,1,TRUE,GETDATE(),1
23,2,8,0.10,1,TRUE,GETDATE(),1
24,3,8,0.00,1,TRUE,GETDATE(),1
25,1,9,0.25,1,TRUE,GETDATE(),1
26,2,9,0.12,1,TRUE,GETDATE(),1
27,3,9,0.00,1,TRUE,GETDATE(),1
28,1,10,0.40,1,TRUE,GETDATE(),1
29,2,10,0.20,1,TRUE,GETDATE(),1
30,3,10,0.00,1,TRUE,GETDATE(),1
31,1,11,0.35,1,TRUE,GETDATE(),1
32,2,11,0.17,1,TRUE,GETDATE(),1
33,3,11,0.00,1,TRUE,GETDATE(),1
34,1,12,0.35,1,TRUE,GETDATE(),1
35,2,12,0.17,1,TRUE,GETDATE(),1
36,3,12,0.00,1,TRUE,GETDATE(),1
37,1,13,0.25,1,TRUE,GETDATE(),1
38,2,13,0.12,1,TRUE,GETDATE(),1
39,3,13,0.00,1,TRUE,GETDATE(),1
40,1,14,0.35,1,TRUE,GETDATE(),1
41,2,14,0.17,1,TRUE,GETDATE(),1
42,3,14,0.00,1,TRUE,GETDATE(),1
43,1,15,0.50,1,TRUE,GETDATE(),1
44,2,15,0.25,1,TRUE,GETDATE(),1
45,3,15,0.00,1,TRUE,GETDATE(),1
46,1,16,0.80,1,TRUE,GETDATE(),1
47,2,16,0.40,1,TRUE,GETDATE(),1
48,3,16,0.00,1,TRUE,GETDATE(),1
49,1,17,0.87,1,TRUE,GETDATE(),1
50,2,17,0.43,1,TRUE,GETDATE(),1
51,3,17,0.00,1,TRUE,GETDATE(),1
52,1,18,0.35,1,TRUE,GETDATE(),1
53,2,18,0.17,1,TRUE,GETDATE(),1
54,3,18,0.00,1,TRUE,GETDATE(),1
55,1,19,0.35,1,TRUE,GETDATE(),1
56,2,19,0.17,1,TRUE,GETDATE(),1
57,3,19,0.00,1,TRUE,GETDATE(),1
58,1,20,0.35,1,TRUE,GETDATE(),1
59,2,20,0.17,1,TRUE,GETDATE(),1
60,3,20,0.00,1,TRUE,GETDATE(),1
61,1,21,0.50,1,TRUE,GETDATE(),1
62,2,21,0.25,1,TRUE,GETDATE(),1
63,3,21,0.00,1,TRUE,GETDATE(),1